
Loading weights:   0%|          | 0/439 [00:00<?, ?it/s]
stage2:   8%|▊         | 318/4218 [03:54<47:57,  1.36it/s]
stage2:   8%|▊         | 319/4218 [03:55<47:49,  1.36it/s]
stage2:   8%|▊         | 320/4218 [03:56<47:53,  1.36it/s]
stage2:   8%|▊         | 321/4218 [03:57<48:22,  1.34it/s]
stage2:   8%|▊         | 322/4218 [03:57<48:31,  1.34it/s]
stage2:   8%|▊         | 323/4218 [03:58<48:45,  1.33it/s]
stage2:   8%|▊         | 324/4218 [03:59<49:04,  1.32it/s]
stage2:   8%|▊         | 325/4218 [04:00<49:06,  1.32it/s]
stage2:   8%|▊         | 326/4218 [04:00<48:43,  1.33it/s]
stage2:   8%|▊         | 327/4218 [04:01<48:30,  1.34it/s]
stage2:   8%|▊         | 328/4218 [04:02<48:55,  1.33it/s]
stage2:   8%|▊         | 329/4218 [04:03<48:16,  1.34it/s]
stage2:   8%|▊         | 330/4218 [04:03<48:11,  1.34it/s]
stage2:   8%|▊         | 331/4218 [04:04<47:22,  1.37it/s]
stage2:   8%|▊         | 332/4218 [04:05<46:53,  1.38it/s]
stage2:   8%|▊         | 333/4218 [04:05<47:00,  1.38it/s]
stage2:   8%|▊         | 334/4218 [04:06<47:00,  1.38it/s]
stage2:   8%|▊         | 335/4218 [04:07<46:36,  1.39it/s]
stage2:   8%|▊         | 336/4218 [04:08<46:22,  1.39it/s]
stage2:   8%|▊         | 337/4218 [04:08<46:17,  1.40it/s]
stage2:   8%|▊         | 338/4218 [04:09<46:15,  1.40it/s]
stage2:   8%|▊         | 339/4218 [04:10<46:10,  1.40it/s]
stage2:   8%|▊         | 340/4218 [04:10<46:03,  1.40it/s]
stage2:   8%|▊         | 341/4218 [04:11<46:10,  1.40it/s]
stage2:   8%|▊         | 342/4218 [04:12<46:16,  1.40it/s]
stage2:   8%|▊         | 343/4218 [04:13<46:21,  1.39it/s]
stage2:   8%|▊         | 344/4218 [04:13<46:09,  1.40it/s]
stage2:   8%|▊         | 345/4218 [04:14<46:08,  1.40it/s]
stage2:   8%|▊         | 346/4218 [04:15<46:10,  1.40it/s]
stage2:   8%|▊         | 347/4218 [04:15<45:53,  1.41it/s]
stage2:   8%|▊         | 348/4218 [04:16<45:30,  1.42it/s]
stage2:   8%|▊         | 349/4218 [04:17<45:12,  1.43it/s]
stage2:   8%|▊         | 350/4218 [04:18<46:03,  1.40it/s]
stage2:   8%|▊         | 351/4218 [04:18<46:16,  1.39it/s]
stage2:   8%|▊         | 352/4218 [04:19<46:41,  1.38it/s]
stage2:   8%|▊         | 353/4218 [04:20<47:17,  1.36it/s]
stage2:   8%|▊         | 354/4218 [04:20<47:42,  1.35it/s]
stage2:   8%|▊         | 355/4218 [04:21<48:02,  1.34it/s]
stage2:   8%|▊         | 356/4218 [04:22<47:45,  1.35it/s]
stage2:   8%|▊         | 357/4218 [04:23<48:01,  1.34it/s]
stage2:   8%|▊         | 358/4218 [04:23<47:21,  1.36it/s]
stage2:   9%|▊         | 359/4218 [04:24<47:47,  1.35it/s]
stage2:   9%|▊         | 360/4218 [04:25<47:44,  1.35it/s]
stage2:   9%|▊         | 361/4218 [04:26<48:00,  1.34it/s]
stage2:   9%|▊         | 362/4218 [04:26<48:05,  1.34it/s]
stage2:   9%|▊         | 363/4218 [04:27<48:10,  1.33it/s]
stage2:   9%|▊         | 364/4218 [04:28<47:42,  1.35it/s]
stage2:   9%|▊         | 365/4218 [04:29<47:17,  1.36it/s]
stage2:   9%|▊         | 366/4218 [04:29<46:49,  1.37it/s]
