
Loading weights:   0%|          | 0/439 [00:00<?, ?it/s]
feature_stats:   2%|▏         | 171/8435 [00:52<42:22,  3.25it/s]
feature_stats:   2%|▏         | 172/8435 [00:53<42:35,  3.23it/s]
feature_stats:   2%|▏         | 173/8435 [00:53<42:41,  3.23it/s]
feature_stats:   2%|▏         | 174/8435 [00:53<42:35,  3.23it/s]
feature_stats:   2%|▏         | 175/8435 [00:53<42:18,  3.25it/s]
feature_stats:   2%|▏         | 176/8435 [00:54<42:01,  3.27it/s]
feature_stats:   2%|▏         | 177/8435 [00:54<41:49,  3.29it/s]
feature_stats:   2%|▏         | 178/8435 [00:54<42:27,  3.24it/s]
feature_stats:   2%|▏         | 179/8435 [00:55<42:23,  3.25it/s]
feature_stats:   2%|▏         | 180/8435 [00:55<42:39,  3.22it/s]
feature_stats:   2%|▏         | 181/8435 [00:55<42:17,  3.25it/s]
feature_stats:   2%|▏         | 182/8435 [00:56<42:18,  3.25it/s]
feature_stats:   2%|▏         | 183/8435 [00:56<42:46,  3.22it/s]
feature_stats:   2%|▏         | 184/8435 [00:56<42:41,  3.22it/s]
feature_stats:   2%|▏         | 185/8435 [00:57<42:27,  3.24it/s]
feature_stats:   2%|▏         | 186/8435 [00:57<42:16,  3.25it/s]
feature_stats:   2%|▏         | 187/8435 [00:57<42:02,  3.27it/s]
feature_stats:   2%|▏         | 188/8435 [00:57<41:55,  3.28it/s]
feature_stats:   2%|▏         | 189/8435 [00:58<41:57,  3.27it/s]
feature_stats:   2%|▏         | 190/8435 [00:58<41:52,  3.28it/s]
feature_stats:   2%|▏         | 191/8435 [00:58<42:00,  3.27it/s]
feature_stats:   2%|▏         | 192/8435 [00:59<42:03,  3.27it/s]
feature_stats:   2%|▏         | 193/8435 [00:59<42:36,  3.22it/s]
feature_stats:   2%|▏         | 194/8435 [00:59<42:28,  3.23it/s]
feature_stats:   2%|▏         | 195/8435 [01:00<42:09,  3.26it/s]
